taxid,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain
559292,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetacea,Saccharomyces,Saccharomyces cerevisiae,Saccharomyces cerevisiae S288C
306902,Fungi,Ascomycota ,Saccharomycetes,Saccharomycetales,Saccharomycetacea,Clavispora,Clavispora lusitaniae,Clavispora lusitaniae ATCC 42720
5478,Fungi,Ascomycota ,Saccharomycetes,Saccharomycetales,Saccharomycetacea,Nakaseomyces,Candida glabrata,
76775,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales ,Malasseziaceae,Malassezia,Malassezia restricta,
1365484,Fungi,Ascomycota ,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti FM164
944170,,,Bigyra,Opalinata,Blastocystidae,Blastocystis,Blastocystis sp. subtype 4,
12968,,,Bigyra,Opalinata,Blastocystidae,Blastocystis,Blastocystis hominis,
944160,,,Bigyra,Opalinata,Blastocystidae,Blastocystis,Blastocystis sp. subtype 2,
478820,,,Bigyra,Opalinata,Blastocystidae,Blastocystis,Blastocystis sp. subtype 1,Blastocystis sp. ATCC 50177/Nand II
237561,Fungi,Ascomycota ,Saccharomycetes,Saccharomycetales,Saccharomycetacea,Candida,Candida albicans,Candida albicans SC5314
944168,,,Bigyra,Opalinata,Blastocystidae,Blastocystis,Blastocystis sp. subtype 3,
683960,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetacea,Wickerhamomyces,Wickerhamomyces anomalus,Wickerhamomyces anomalus NRRL Y-366-8
284592,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,Debaryomyces hansenii CBS767
39397,Fungi,Ascomycota ,Saccharomycetes,Saccharomycetales,Saccharomycetacea,Candida,Candida sake,
4909,Fungi,Ascomycota ,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia kudriavzevii,
983966,Fungi,Ascomycota ,Saccharomycetes,Saccharomycetales,Cyberlindnera,Cyberlindnera,Cyberlindnera jadinii NRRL Y-1542,
1544353,,,Bigyra,Opalinata,Blastocystidae,Blastocystis,Blastocystis sp. subtype 9,
766728,Fungi,Ascomycota ,Saccharomycetes,Saccharomycetales,Saccharomycetacea,Meyerozyma,Meyerozyma sp.,
184922,,,Fornicata,Diplomonadida,Hexamitidae,Giardia,Giardia lamblia,Giardia lamblia ATCC 50803
29833,Fungi,Ascomycota ,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Hanseniaspora,Hanseniaspora uvarum,
763406,Fungi,Ascomycota ,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia membranifaciens,Pichia membranifaciens NRRL Y-2026
53655,Fungi,Ascomycota ,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia fermentans,
